measurement_noise,observation_fraction,n,accuracy,accuracy_ci_low,accuracy_ci_high,same_time_snapshot_accuracy,same_time_snapshot_ci_low,same_time_snapshot_ci_high,balanced_accuracy,auroc,auroc_ci_low,auroc_ci_high,same_time_snapshot_auroc,same_time_snapshot_auroc_ci_low,same_time_snapshot_auroc_ci_high,mean_macro_dice,macro_dice_ci_low,macro_dice_ci_high,mean_macro_dice_nonempty_classes,macro_dice_nonempty_classes_ci_low,macro_dice_nonempty_classes_ci_high,mean_nrmse,nrmse_ci_low,nrmse_ci_high,mean_same_time_snapshot_macro_dice,same_time_snapshot_macro_dice_ci_low,same_time_snapshot_macro_dice_ci_high,mean_same_time_snapshot_macro_dice_nonempty_classes,same_time_snapshot_macro_dice_nonempty_classes_ci_low,same_time_snapshot_macro_dice_nonempty_classes_ci_high,mean_same_time_snapshot_nrmse,same_time_snapshot_nrmse_ci_low,same_time_snapshot_nrmse_ci_high,mean_pixel_accuracy,median_correlation,median_correction_relative_error,median_coupling_absolute_error
0.0,0.05,160,0.8125,0.75,0.86875,0.81875,0.75625,0.875,0.8123827392120075,0.9072858036272671,0.858280696324621,0.9503162127383185,0.9119762351469669,0.8697905701754387,0.9501266504676326,0.7650511866349538,0.7417472250047166,0.7883528374146682,0.7383720944407179,0.7171815012991218,0.7599468275737011,0.19691462207112181,0.1864530153530619,0.20745176513661628,0.7192977578993751,0.7024933869945944,0.736315210109295,0.6748036608338099,0.6644785040915387,0.6847987273597039,0.22106884741834812,0.2180623031354091,0.22376648128589016,0.8239419291338581,0.8255315925424287,0.6173178210876821,0.35191118827771606
0.0,0.1,160,0.8375,0.775,0.89375,0.85625,0.8,0.90625,0.8364602876797999,0.9432457786116323,0.9093521844009649,0.9715970212016898,0.9487179487179487,0.9166650181990821,0.9745891309155241,0.7816028759086242,0.7566389065864253,0.8061414832638873,0.7617690643716813,0.7371902570149912,0.7862569622038968,0.17791459721978695,0.16769580584948943,0.18796083880217812,0.7242974438486113,0.7050044861714003,0.7414746511001709,0.6809471736968785,0.6689863990796409,0.6931643203516218,0.20614970221161671,0.20136317358141256,0.2108874864214907,0.853383366141732,0.8661265496174712,0.7141480036599964,0.3768980763100546
0.0,0.15,160,0.85625,0.8,0.90625,0.89375,0.84375,0.9375,0.8556910569105691,0.9538774233896186,0.9223121818139438,0.9799220047768746,0.9710756722951845,0.9472895929017828,0.9884085213032582,0.8020918817349901,0.7773478063733038,0.8279074752153688,0.783505566495423,0.7586490601658259,0.8079337591487977,0.16687823834627458,0.15658371911365124,0.17746731623920747,0.7381534606837007,0.7187934757316742,0.7568394202890891,0.6972797357803853,0.6822352462844188,0.7133691467738382,0.19100550052906826,0.18422680660816806,0.19711428608243975,0.8717027559055118,0.8947405940553484,0.8196729561114224,0.3883802663529925
0.0,0.2,160,0.9,0.85,0.94375,0.93125,0.8875,0.96875,0.8989993746091307,0.9749843652282677,0.9525453694536467,0.9913728530886038,0.9826454033771107,0.9660311716791979,0.9951669285944551,0.8239891846296163,0.7988652916932301,0.8483935308597155,0.810086339527458,0.7843347984517148,0.836311009614842,0.15536061255590816,0.145545097190401,0.16639437052361722,0.7572886210759378,0.7369161074723027,0.777835246356055,0.718795923258629,0.7007831585911575,0.7374496233486306,0.17493782702198094,0.16701558152092308,0.18257514363730246,0.892974901574803,0.9203133569783284,0.8700147204655859,0.40085845455629976
0.0,0.3,160,0.95625,0.925,0.9875,0.95,0.9125,0.98125,0.956066291432145,0.9959349593495935,0.9901547116736991,0.9995286352863617,0.9970293933708568,0.9922611366681751,1.0,0.9192068470092984,0.9002462473789449,0.9374894790411147,0.9075521067426395,0.8876917686424896,0.9268168202832349,0.13463020502217038,0.12669093511569898,0.14284432142087636,0.8115485158827822,0.7888059504730186,0.8339994565796928,0.7806438027816933,0.7579685703483443,0.8031971582422229,0.13810827403271342,0.12889426589149625,0.14743238606831316,0.9323080708661419,0.9496864300667722,0.8841808723647273,0.42366945144655865
0.0,0.5,160,0.99375,0.98125,1.0,1.0,1.0,1.0,0.9935897435897436,1.0,1.0,1.0,1.0,1.0,1.0,0.9580957011069664,0.9434727757339785,0.9700985999290509,0.9509906229572731,0.9360850093373478,0.9647402343014527,0.12414897745179646,0.11648005346985225,0.13186736286080555,0.9319800811310948,0.9116773331233449,0.9504450353481252,0.9218784666942023,0.901778671962623,0.9405310995767605,0.07041474370930603,0.06212946753410169,0.07949906018985232,0.9593380905511811,0.968464040575614,0.8875860871209948,0.42366945144655865
0.02,0.05,160,0.825,0.7625,0.88125,0.825,0.7625,0.88125,0.8245778611632271,0.9199499687304565,0.8744427083333334,0.9578078079413154,0.9108818011257036,0.8644665747292746,0.9491459134453882,0.6987517906406661,0.6738167780816036,0.7231095720103853,0.6775454445747966,0.6549891694568374,0.7001969755179402,0.23268677044204228,0.22097742421688718,0.24475812431087593,0.7193906663188383,0.7019801655653687,0.736648941304104,0.6748914810339188,0.6639551216670184,0.6854808374395579,0.22127886600335156,0.21842400681452404,0.22407047873698405,0.7625369094488189,0.7556215117361271,0.7592205544711055,0.23224970065009898
0.02,0.1,160,0.8375,0.78125,0.89375,0.85625,0.8,0.90625,0.8364602876797999,0.9438711694809255,0.908584751630264,0.9710406202454236,0.948405253283302,0.9164058717377185,0.9746529374777283,0.7631771077532326,0.7375896690315334,0.7886419008401431,0.7448972275326513,0.7202088859013531,0.7699874717661118,0.18617154246499035,0.17702928273527954,0.19570104918887407,0.7244766772811556,0.7072512596191864,0.7425504426776317,0.6811208103193099,0.6687013186633374,0.6937107077279607,0.20644312686450156,0.20151184270353795,0.21098362062171486,0.8450664370078741,0.857105682810722,0.6976219707854014,0.36495157075990764
0.02,0.15,160,0.8625,0.80625,0.9125,0.9,0.85,0.94375,0.8617886178861789,0.9532520325203252,0.923245495840767,0.9781312870577203,0.9709193245778611,0.9467360713661032,0.9881343762390977,0.7917521096812676,0.765724209896373,0.8180629446620572,0.774585489401216,0.7492530093087854,0.7999306901937794,0.17152070472978892,0.16166062687058916,0.18221624226533312,0.7381241451437756,0.7196662379020076,0.7566805400970137,0.6972341287622179,0.6826821975742747,0.7130374327075819,0.1913168132296719,0.1844526732648556,0.1978755141216413,0.8693159448818897,0.890102854590905,0.8279886438334336,0.37352307417244063
0.02,0.2,160,0.9125,0.86875,0.95625,0.93125,0.8875,0.96875,0.9118198874296435,0.976078799249531,0.9532968761620694,0.9928343878611189,0.9821763602251408,0.9646420367496857,0.9944615204455938,0.8214537346226916,0.7967916125826253,0.848242477070364,0.807600057424416,0.7816342657024008,0.8324003601346283,0.1585742302329253,0.14845233833140745,0.168698991267936,0.7575193654734063,0.7367485778866338,0.7786803021804237,0.7189435072844506,0.700636184237864,0.7378578890204367,0.17528379154324955,0.1675737056558798,0.18336191048101705,0.8913877952755905,0.9139925407992675,0.8694378991185008,0.39160901999743947
