trial_id,measurement_noise,observation_fraction,observations_used,outcome,prediction,same_time_snapshot_q,same_time_snapshot_prediction,q0,q_final,q_hat,distance_from_separatrix,damage_fraction,true_correction_rate,realized_correction_map_mean,realized_correction_map_sd,realized_correction_map_min,realized_correction_map_max,estimated_correction_rate,raw_correction_rate,correction_hit_lower,correction_hit_upper,correction_relative_error,true_coupling,estimated_coupling,raw_coupling,coupling_hit_lower,coupling_hit_upper,coupling_absolute_error,same_time_snapshot_rmse,same_time_snapshot_nrmse,same_time_snapshot_correlation,same_time_snapshot_pixel_accuracy,same_time_snapshot_macro_dice,same_time_snapshot_macro_dice_nonempty_classes,rmse,nrmse,correlation,pixel_accuracy,macro_dice,macro_dice_nonempty_classes
0,0.0,0.05,12,1,1,0.5433874665337136,1,0.6220673784268054,0.9999981558072467,0.6150214444059047,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.9187895196376952,0.9187895196376952,False,False,0.13971147495741632,0.07341914807417228,0.0356582581871888,0.0356582581871888,False,False,0.037760889886983486,0.4301035833651129,0.21505179168255645,0.6312464484851125,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.36072372508131306,0.18036186254065653,0.7399851976635324,0.7598425196850394,0.8263247863247862,0.7394871794871795
0,0.0,0.1,23,1,1,0.5965675099989068,1,0.6220673784268054,0.9999981558072467,1.2837585520697974,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.08,-0.16121868380548696,True,False,0.9007640857369086,0.07341914807417228,0.6,0.7815288904694891,False,True,0.5265808519258277,0.37890529871066403,0.18945264935533201,0.7123748694644897,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.3155421722713449,0.15777108613567245,0.9218281688070135,0.9625984251968503,0.9750655201765976,0.9625982802648966
0,0.0,0.15,34,1,1,0.6694749875187878,1,0.6220673784268054,0.9999981558072467,1.2962937787884787,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.08,-0.48856205981237916,True,False,0.9007640857369086,0.07341914807417228,0.6,0.9912968867577003,False,True,0.5265808519258277,0.3101255950578758,0.1550627975289379,0.8120593128698811,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.3232526815129696,0.1616263407564848,0.9212948428686044,0.9645669291338582,0.9763775866077656,0.9645663799116484
0,0.0,0.2,45,1,1,0.7454154960785202,1,0.6220673784268054,0.9999981558072467,1.3003244576880173,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.08,-0.34223094926338593,True,False,0.9007640857369086,0.07341914807417228,0.6,0.8887438068234024,False,True,0.5265808519258277,0.23890267388167913,0.11945133694083956,0.8954482128509541,0.8346456692913385,0.8849414353200027,0.8274121529800039,0.3291167446260975,0.16455837231304876,0.9182829942200249,0.9625984251968503,0.9750655201765976,0.9625982802648966
0,0.0,0.3,67,1,1,0.8665387037970753,1,0.6220673784268054,0.9999981558072467,1.3005758363580253,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.08,-0.07198170805583129,True,False,0.9007640857369086,0.07341914807417228,0.6,0.707655389044569,False,True,0.5265808519258277,0.1255867715311264,0.0627933857655632,0.9755701576467064,0.9783464566929134,0.9855103466963305,0.9782655200444959,0.32562879913519893,0.16281439956759947,0.9222560654319635,0.968503937007874,0.9790013227513228,0.9685019841269842
0,0.0,0.5,111,1,1,0.972156049608405,1,0.6220673784268054,0.9999981558072467,1.2683339453058315,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.15914284358672906,0.15914284358672906,False,False,0.8025914302280348,0.07341914807417228,0.5327435715721852,0.5327435715721852,False,False,0.45932442349801295,0.026863812632777276,0.013431906316388638,0.9990366924713541,1.0,1.0,1.0,0.257150933561285,0.1285754667806425,0.956331594923485,0.9763779527559056,0.9842480620155039,0.9763720930232558
0,0.02,0.05,12,1,1,0.5442108848177589,1,0.6220673784268054,0.9999981558072467,0.6682435271135733,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.5856017577364548,0.5856017577364548,False,False,0.2735909272118689,0.07341914807417228,0.23154171237751123,0.23154171237751123,False,False,0.15812256430333893,0.4298173064551361,0.21490865322756805,0.6303335169163425,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.3171695739838186,0.1585847869919093,0.796239355170401,0.7677165354330708,0.832806180793797,0.7492092711906954
0,0.02,0.1,23,1,1,0.5984046236462846,1,0.6220673784268054,0.9999981558072467,1.2795013949935399,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.08,-0.17269217474152215,True,False,0.9007640857369086,0.07341914807417228,0.6,0.6360979233802262,False,True,0.5265808519258277,0.37766338655615106,0.18883169327807553,0.7138472731878325,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.34300834690297666,0.17150417345148833,0.8969275882273894,0.952755905511811,0.636420694448767,0.636420694448767
0,0.02,0.15,34,1,1,0.6715791614433844,1,0.6220673784268054,0.9999981558072467,1.2965793551315776,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.08,-0.5023357221396402,True,False,0.9007640857369086,0.07341914807417228,0.6,0.9075762108764472,False,True,0.5265808519258277,0.3087008658682854,0.1543504329341427,0.8138936367924345,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.33890796517715516,0.16945398258857758,0.9139066379561258,0.9606299212598425,0.9737532808398951,0.9606299212598425
0,0.02,0.2,45,1,1,0.7448554353605769,1,0.6220673784268054,0.9999981558072467,1.2990058371389528,0.12206737842680543,0.35039370078740156,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,0.08,-0.33543434937239475,True,False,0.9007640857369086,0.07341914807417228,0.6,0.8217712014472821,False,True,0.5265808519258277,0.24025285293411297,0.12012642646705649,0.8939262254244476,0.8287401574803149,0.880526326460272,0.8207894896904081,0.3352133399321969,0.16760666996609844,0.9155149316272376,0.9625984251968503,0.9750655201765976,0.9625982802648966
