trial_id,outcome,correct,true_correction_rate,realized_correction_map_mean,realized_correction_map_sd,estimated_correction_rate,raw_correction_rate,sampled_k_error,realized_mean_k_error,true_coupling,estimated_coupling,raw_coupling,coupling_error,correction_hit_lower,correction_hit_upper,coupling_hit_lower,coupling_hit_upper,any_coefficient_boundary_hit,macro_dice,macro_dice_nonempty_classes,nrmse
0,1,True,0.8061597516792787,0.8084521956105569,0.08058318927438747,0.08,-0.07081873896746674,-0.7261597516792787,-0.728452195610557,0.07341914807417228,0.4537240312544669,0.4537240312544669,0.38030488318029465,True,False,False,False,True,0.9763775866077656,0.9645663799116484,0.17141149158736543
1,0,True,0.6658097544277723,0.6651365326922841,0.07678427627135644,0.11573292679087657,0.11573292679087657,-0.5500768276368958,-0.5494036059014076,0.07004522008239797,0.3229804783754373,0.3229804783754373,0.2529352582930393,False,False,False,False,False,0.9960050874072038,0.9960050874072038,0.14480155508532278
2,0,True,0.7524705426875019,0.7561887516871442,0.11223914735240659,0.08,0.011439337722846268,-0.672470542687502,-0.6761887516871442,0.2123056067442337,0.43468098167948266,0.43468098167948266,0.22237537493524895,True,False,False,False,True,0.955188198086448,0.955188198086448,0.11420605775293667
3,0,True,0.936506700199845,0.9375240007961189,0.12909272908246863,0.08,-0.4361595555969004,-0.8565067001998451,-0.8575240007961189,0.1734029035527315,0.6,0.8966216558405944,0.4265970964472685,True,False,False,True,True,0.972833026674308,0.972833026674308,0.15404988351610155
4,1,False,1.1471671339390808,1.147879321679547,0.2257966399774087,0.517294923534371,0.517294923534371,-0.6298722104047098,-0.6305843981451761,0.14057516520790447,0.08756518888245905,0.08756518888245905,-0.05300997632544542,False,False,False,False,False,0.8263247863247862,0.7394871794871795,0.26715815745639315
5,0,True,0.8114481400938126,0.8130229499864904,0.07898711564982287,0.08,-0.48511347749496625,-0.7314481400938126,-0.7330229499864904,0.14590018528620505,0.6,0.87813558172737,0.4540998147137949,True,False,False,True,True,0.9723388713894551,0.9723388713894551,0.13138455827966652
6,1,True,0.8589742642483227,0.8596629185285919,0.0857709539822659,0.08,0.004526186560440094,-0.7789742642483227,-0.7796629185285919,0.13647773863540957,0.5451458779733896,0.5451458779733896,0.4086681393379801,True,False,False,False,True,0.9671884224219336,0.9507826336329004,0.18818139501676984
7,0,True,0.9893443972325126,0.9810331008666425,0.21230731962274108,0.08,-0.003054704891553254,-0.9093443972325126,-0.9010331008666426,0.14079025911273324,0.5295827787047993,0.5295827787047993,0.38879251959206607,True,False,False,False,True,0.8438078866762627,0.8438078866762627,0.1724865180765242
8,0,False,0.7573881310273416,0.7677438199823627,0.13502543665232614,0.624314096128563,0.624314096128563,-0.13307403489877856,-0.1434297238537997,0.08637360627690663,0.0,-0.14957761688596655,-0.08637360627690663,False,False,True,False,True,0.604102564102564,0.604102564102564,0.2518610921294009
9,1,True,1.0065366852954307,1.0161707531032247,0.21120253184922694,0.1430531448615714,0.1430531448615714,-0.8634835404338593,-0.8731176082416533,0.19159862575310363,0.4495436600376084,0.4495436600376084,0.25794503428450477,False,False,False,False,False,0.9816247332330859,0.9724370998496288,0.14185880685755262
