trial_id,initial_side,outcome,q0,distance_from_separatrix,damage_fraction_requested,damage_fraction_realized,correction_rate,coupling,memory_rate,memory_noise,process_noise,correction_heterogeneity_cv,correction_map_mean,correction_map_sd,correction_map_min,correction_map_max,target_separation_scale,target_overlap_sd,target_overlap_offset,outcome_target_selector,scenario,scenario_seed,forward_model,separation_scale
0,0,0,0.4876989600263338,0.012301039973666194,0.5358697431956682,0.562992125984252,1.0493602379675395,0.11710322427494568,1.6330755186641641,0.19566926881620847,0.00991448841579158,0.20083184066079424,1.0341630656210887,0.21239933902903363,0.37039330811673776,1.6858166278248305,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
1,0,0,0.4205447994444914,0.07945520055550857,0.36440787756217086,0.3779527559055118,0.9367673031593826,0.11693960678436799,1.703037171062399,0.3388924183444567,0.007660688477492543,0.10063308324756494,0.9396239653257498,0.09755173211648242,0.6104334904135823,1.1939352653434843,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
2,1,1,0.5061414496372072,0.006141449637207172,0.5950811334007232,0.594488188976378,0.7452458058944059,0.05422432782053643,1.4923602641368663,0.32144646947347677,0.006644757703840825,0.24820555894072552,0.7484784385077872,0.19312300030979945,0.18631145147360148,1.4292174384648004,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
3,1,1,0.6924560590910476,0.19245605909104757,0.35495740331532144,0.3779527559055118,1.1717160893783207,0.25662460505369017,1.8888575324970427,0.2324854797173064,0.008728684108449066,0.17582602896552607,1.1718282815842844,0.20752071927198135,0.4308815838192099,1.775896212182726,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
4,1,1,0.5708624699731402,0.07086246997314015,0.4169411860758176,0.43700787401574803,1.1392457991434484,0.15274078764294624,1.7025541463015383,0.27382937367202165,0.004792076948166336,0.10453499525683893,1.1362207827999489,0.11945404889216897,0.7616191634266425,1.531003167273847,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
5,1,1,0.53833447688398,0.0383344768839799,0.5393413428342307,0.562992125984252,1.038432934722766,0.19068838396199514,1.4805399234093088,0.3024698607637878,0.010039166282408859,0.1773116324460906,1.0509185082386212,0.18464671646179964,0.4730508741938004,1.5861971010812312,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
6,0,0,0.33789291208851546,0.16210708791148457,0.5772983096596905,0.594488188976378,0.6739653675450559,0.18208032070237798,1.902389616002326,0.2396196258351808,0.00696898962090063,0.16587086792611688,0.6767815894844816,0.11186917740463202,0.3813395189854623,1.0775805996267518,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
7,0,0,0.41885686683241796,0.08114313316758205,0.38451715020749266,0.40551181102362205,1.1451449428495046,0.1891710154057308,2.0764191172334177,0.24819964554771562,0.012124081486116987,0.20658393242899425,1.128655880881054,0.23492948142936806,0.37284217724197793,1.836569380023215,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
8,1,1,0.7271837997796206,0.22718379977962058,0.2642458717194094,0.2677165354330709,1.12991814470697,0.26287182051294716,1.9399011275870008,0.23270554704322155,0.012222568305278722,0.23236544086240557,1.1339221194859677,0.27652249794421724,0.34193399423425397,1.981479605429228,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
9,1,1,0.6389371987063049,0.13893719870630494,0.5795935585961692,0.594488188976378,0.9856868724130264,0.1094575164172065,2.204853101292923,0.1201599091931449,0.011944063123474756,0.2557557352642851,0.9927740740776066,0.25014324863704235,0.2464217181032566,1.7875356200764385,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
10,1,1,0.512326345439454,0.01232634543945404,0.5167923737702621,0.531496062992126,1.1970314096269095,0.13744144013657036,2.6327902032434003,0.1713893372024301,0.005607496176637538,0.17070498778644774,1.201099540454659,0.20361165428919012,0.6842973618758191,1.8454855064604243,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
11,0,0,0.42533290522126915,0.07466709477873085,0.4516381220041529,0.468503937007874,0.9105452041853289,0.11705781967516962,2.5700668882174575,0.2740376544445672,0.01286047785933484,0.1839907614964587,0.9023836970120426,0.16506450749467108,0.3408024601823798,1.352068042792209,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
12,0,0,0.3140938503825125,0.1859061496174875,0.41379121750240283,0.43700787401574803,1.0040092736199395,0.10994968844126063,1.8484712306133937,0.33358367254935617,0.011924053491706353,0.21325376641176697,1.0033118155052434,0.22152896727599586,0.3851341419352836,1.6226983814211886,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
13,1,1,0.7354179946710866,0.23541799467108665,0.5572134376106046,0.562992125984252,1.1373861515972052,0.26702936246943826,1.3445969186682616,0.193623032343255,0.008195610995787573,0.23179611400073538,1.1342354237305783,0.27016825776738373,0.2843465378993013,1.9410620930529288,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
14,1,1,0.5045132483113997,0.004513248311399663,0.5619023956401994,0.562992125984252,0.7771497785320289,0.2618222371405107,2.778033899383619,0.3398352525587256,0.013280277270866588,0.1398202101274591,0.7783522728350107,0.11138914981651435,0.44134018503741873,1.1530890602510693,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
15,1,1,0.707384413759469,0.20738441375946903,0.4655681804677214,0.468503937007874,0.5087745180242287,0.18386518125701168,1.5005078406554286,0.3190400691727606,0.007020138219482535,0.2480898851886528,0.5048698502071438,0.1271229345592285,0.12719362950605717,0.8810810115630133,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
16,1,1,0.5628161723367774,0.06281617233677737,0.45243815903105156,0.468503937007874,1.0943416741993994,0.16650276593497657,1.8409558273837219,0.28289215895965825,0.011441982050858796,0.11269684006366895,1.0951644786696637,0.12476668375147418,0.7006423127517025,1.479847956196706,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
17,1,1,0.5041082461233882,0.00410824612338822,0.28438926653927743,0.2952755905511811,0.740357222431465,0.042600285117012436,1.3423988507795226,0.28606394253855605,0.007345466333873249,0.17021549782233447,0.7531337585488732,0.12010190407736593,0.3444616041188223,1.1616861981384836,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
18,1,1,0.5089220548197714,0.00892205481977142,0.30155224414758014,0.3228346456692913,1.163913114963229,0.05747237949048024,1.6361027021167105,0.204011951832672,0.006443624190728685,0.1420242039783701,1.1710062256333313,0.15813673689392616,0.7080416468774734,1.6960336750272365,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
19,1,1,0.6736706578906525,0.17367065789065253,0.5691942878820564,0.594488188976378,0.5760420365327489,0.199771927220696,2.725876637192701,0.22468066505771395,0.010122399908484379,0.18837074193302913,0.5757534272806683,0.10733114541020645,0.24302855568329965,0.872269936280195,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
20,1,0,0.50772246977196,0.007722469771959988,0.30061372288269755,0.3228346456692913,0.7773903284770216,0.27229505189351916,2.500288993171028,0.3036825861702107,0.007913455190798804,0.206882211663419,0.7709250713028185,0.17506796156909818,0.2638032448467966,1.2342969566837285,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
21,1,1,0.5046318538556834,0.004631853855683443,0.5854733704398281,0.594488188976378,0.5176818997698215,0.15009292691183507,2.29486283157137,0.16141945742283909,0.0047545183372675595,0.25539070924211327,0.5111757030698518,0.12742388765406223,0.15320823950624796,0.9365014383554863,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
22,0,0,0.39800997192912196,0.10199002807087805,0.2703166940037101,0.2952755905511811,1.2081805434840152,0.2061514879110518,2.6512939776676583,0.15245210003934992,0.006679300918648828,0.2297569980065207,1.1982781108787133,0.27763134941451006,0.3020451358710038,1.884108912953157,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
23,0,0,0.4896800188696893,0.010319981130310707,0.24361795179706122,0.2677165354330709,0.6141459608471526,0.2058124167996328,1.841209669320073,0.3217907161341026,0.008680979236601511,0.15787524447521273,0.617106023593991,0.1021543094122846,0.2741176291962154,0.8816764440554875,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
24,1,0,0.5481929060430965,0.048192906043096416,0.26326693916642546,0.2677165354330709,0.6054549351610077,0.17884860454001475,1.999652940278877,0.3344386303417044,0.0056349906704002825,0.16967379284481354,0.6029881351476906,0.10485770301777349,0.3252244106194177,0.9038140902964805,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
25,1,1,0.5793008282201304,0.07930082822013035,0.3304523154201185,0.35039370078740156,0.8423258065872227,0.20139364892065686,3.173287040879356,0.20830785531550852,0.0054355382902822,0.10951799174668124,0.8422040716768199,0.09227852979080796,0.526121384672984,1.1140073663940204,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
26,1,1,0.6072231277030291,0.10722312770302907,0.41838524213075357,0.43700787401574803,1.1265705641538328,0.17126143402155194,1.5078970506231724,0.2052936356813811,0.01162854563885668,0.22128412237829545,1.1199189011276869,0.24761677292741618,0.2816426410384582,1.885146949463313,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
27,1,1,0.7082573501691214,0.2082573501691214,0.27035582460416147,0.2952755905511811,0.9527096451298126,0.17467006886711123,3.0240370746927665,0.32088830074229613,0.006561583070051849,0.1244700365899732,0.9526675150351367,0.11426996430840386,0.6647990670752724,1.330638644239339,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
