trial_id,initial_side,outcome,q0,distance_from_separatrix,damage_fraction_requested,damage_fraction_realized,correction_rate,coupling,memory_rate,memory_noise,process_noise,correction_heterogeneity_cv,correction_map_mean,correction_map_sd,correction_map_min,correction_map_max,target_separation_scale,target_overlap_sd,target_overlap_offset,outcome_target_selector
0,1,1,0.6220673784268054,0.12206737842680543,0.32557630691848904,0.35039370078740156,0.8061597516792787,0.07341914807417228,2.875389973966585,0.2404591493336477,0.004619052447861882,0.09686169976172335,0.8084521956105569,0.08058318927438747,0.5938332702089901,1.0542235881956974,1.0,0.0,0.0,1.0
1,0,0,0.31103853687322397,0.18896146312677603,0.2207226635656549,0.24015748031496062,0.6658097544277723,0.07004522008239797,2.012944567764643,0.288048959696807,0.006278319261279688,0.11676083148333724,0.6651365326922841,0.07678427627135644,0.39843141026843487,0.9142857430507955,1.0,0.0,0.0,0.0
2,0,0,0.4160167461727031,0.08398325382729685,0.2334244137658773,0.24015748031496062,0.7524705426875019,0.2123056067442337,2.879448513835955,0.1660512323169603,0.007267593194039665,0.14712389056481473,0.7561887516871442,0.11223914735240659,0.42201657026724393,1.086551947952315,1.0,0.0,0.0,0.0
3,0,0,0.43835892202601096,0.06164107797398903,0.4524245286501519,0.468503937007874,0.936506700199845,0.1734029035527315,1.6654377302028576,0.27293192092357155,0.005213763192612429,0.13743206954564136,0.9375240007961189,0.12909272908246863,0.46101744715899595,1.2692797576883197,1.0,0.0,0.0,0.0
4,0,1,0.4879652193816704,0.012034780618329556,0.3952067892211164,0.40551181102362205,1.1471671339390808,0.14057516520790447,1.5408312459609466,0.22965705114898954,0.005701103101659149,0.19994710182386,1.147879321679547,0.2257966399774087,0.500084842997075,1.848086353332922,1.0,0.0,0.0,1.0
5,0,0,0.46739086002664487,0.0326091399733551,0.4614413653236286,0.468503937007874,0.8114481400938126,0.14590018528620505,1.88751162145602,0.23412122467615537,0.010990360932631737,0.09637310347298877,0.8130229499864904,0.07898711564982287,0.6103679456433256,1.0374651816558071,1.0,0.0,0.0,0.0
6,1,1,0.5426963085322734,0.042696308532273346,0.19079642725660861,0.2125984251968504,0.8589742642483227,0.13647773863540957,1.7606110603230698,0.21675797087521867,0.007952961782569642,0.10206388937895887,0.8596629185285919,0.0857709539822659,0.5366033486640954,1.1525863139346426,1.0,0.0,0.0,1.0
7,1,0,0.5085615096498437,0.008561509649843667,0.22962997467867563,0.24015748031496062,0.9893443972325126,0.14079025911273324,2.5177776783284735,0.20284043147308173,0.005580080982386965,0.21482085037271742,0.9810331008666425,0.21230731962274108,0.284263727229029,1.6602318188254463,1.0,0.0,0.0,0.0
8,0,0,0.4917721655534141,0.008227834446585898,0.24400232175448303,0.2677165354330709,0.7573881310273416,0.08637360627690663,2.036665781703623,0.27551392002364394,0.005064522919384272,0.180320041310928,0.7677438199823627,0.13502543665232614,0.4034151647109449,1.200025996441074,1.0,0.0,0.0,0.0
9,1,1,0.6174414359407681,0.11744143594076804,0.39959684193534206,0.40551181102362205,1.0065366852954307,0.19159862575310363,1.831763706119907,0.17697602059214695,0.0037282544990222518,0.21047318302600887,1.0161707531032247,0.21120253184922694,0.371092279976418,1.6364431514960593,1.0,0.0,0.0,1.0
10,0,0,0.38590591974478655,0.11409408025521343,0.4650045012372315,0.468503937007874,0.7804717975116737,0.2203319446906587,2.4683793888168193,0.1859609508485812,0.005651880126630791,0.18157127399124817,0.7866468678817549,0.14139296015968433,0.38619103690737433,1.271283433097527,1.0,0.0,0.0,0.0
11,0,1,0.4418188646857201,0.058181135314279875,0.38689232983036953,0.40551181102362205,0.9452420391136918,0.08821909229027786,1.5241588170784133,0.18058546343870474,0.0057680080935478,0.13402465323173568,0.9484906122614115,0.12773202790008503,0.6220061888433367,1.3171523076691187,1.0,0.0,0.0,1.0
12,0,0,0.4437503090173957,0.05624969098260431,0.35634046299297395,0.3779527559055118,0.8247538620792505,0.22528241619342157,1.553096776871933,0.23498229340758442,0.007452689172022391,0.17769187002871742,0.8280306703494474,0.15103005208427944,0.34078151845502025,1.261787280370731,1.0,0.0,0.0,0.0
13,1,1,0.5950995308962358,0.09509953089623584,0.5308364021960887,0.531496062992126,0.790634870330769,0.11617982649521724,2.6810685978674655,0.2930242262230066,0.010891473323164307,0.1630347371285602,0.7920558062676244,0.13071229098042728,0.4247649132147767,1.23122733360394,1.0,0.0,0.0,1.0
14,1,1,0.5258441702937446,0.025844170293744608,0.22970569928900522,0.24015748031496062,0.6695766034685156,0.23400775369916466,1.5054619698023552,0.2201513164759928,0.006809449012533319,0.1940320595725905,0.6693945078802681,0.12632163408541044,0.3219562732917591,1.0185739642833274,1.0,0.0,0.0,1.0
15,1,1,0.5468660838759155,0.0468660838759155,0.5076924579212095,0.531496062992126,1.022572781637161,0.10494039979661642,2.1581657131861567,0.2760250894239248,0.006163679516340201,0.09419909805889479,1.0217618370796409,0.09928729214861771,0.7167346423235882,1.2810813845559188,1.0,0.0,0.0,1.0
16,1,1,0.5405526567863901,0.04055265678639009,0.24420856835207366,0.2677165354330709,1.0353402513481063,0.14850885041072112,1.6121686298724758,0.24610534346608892,0.005087207768561456,0.09559815074399684,1.0277393255496785,0.10542929141053939,0.6678442873173814,1.3252759745010418,1.0,0.0,0.0,1.0
17,0,0,0.4917647428558287,0.008235257144171292,0.38408453894469113,0.40551181102362205,0.9377994643922205,0.16639164554256036,2.4090196500346694,0.24855666834023665,0.005819337203591086,0.16268620443808074,0.9397072136173166,0.151342220829849,0.5603349519589738,1.346113069262889,1.0,0.0,0.0,0.0
18,0,1,0.4691283847213419,0.030871615278658122,0.4689026766214839,0.468503937007874,0.6195336433209077,0.20901596359892477,1.5030646153717457,0.298882067633781,0.005812831661117802,0.16157240651182153,0.6230497858577131,0.1021280828480855,0.33064553428816534,0.97452351577578,1.0,0.0,0.0,1.0
19,1,1,0.5225315542977123,0.02253155429771229,0.4111257865439528,0.43700787401574803,0.6190227644975841,0.22140423982103097,2.54411147404251,0.2625686726427436,0.009630692834853957,0.1278853234717175,0.6198388550190008,0.08043403977300348,0.3766260885981484,0.8921346610441272,1.0,0.0,0.0,1.0
20,1,1,0.7925829121285783,0.29258291212857834,0.4015726367153775,0.40551181102362205,0.6736512885465814,0.14982726872502225,2.9822952537769556,0.19239101746246,0.006247989061991904,0.16016303722141695,0.6723833672698791,0.10879726401100175,0.33562976359276386,0.9706052785703999,1.0,0.0,0.0,1.0
21,0,1,0.4820465409622707,0.0179534590377293,0.33426187341162905,0.35039370078740156,0.8983047742348591,0.14124554080439133,2.1329167041070836,0.19399009825562596,0.005554005438028148,0.18042499373820486,0.8961316881438972,0.15980532605299558,0.4665902355749683,1.5171076128954628,1.0,0.0,0.0,1.0
22,1,1,0.5503727811589944,0.05037278115899435,0.5140473661378988,0.531496062992126,0.610202920780681,0.23637926217900723,2.6789881812204577,0.19131250405558428,0.004855870661577812,0.19963652620134364,0.6169843053385806,0.12268111245975322,0.21835183241567968,0.9929642618455229,1.0,0.0,0.0,1.0
23,0,0,0.4565098387809691,0.0434901612190309,0.3824165129178383,0.40551181102362205,0.6673064560956111,0.08829705965036908,2.5544326463570663,0.2678747290961805,0.0049015753238760285,0.1280237655168552,0.6748397312083644,0.08977701173004657,0.3859340814045651,0.943511283100009,1.0,0.0,0.0,0.0
24,1,0,0.5484579318843736,0.048457931884373646,0.4001481637171838,0.40551181102362205,0.7812694656325488,0.07516136470895238,2.5772157197691734,0.20714285167432508,0.005228500585174694,0.1576515804444648,0.7729786163472456,0.12624187967425204,0.408089838660738,1.1356886945997442,1.0,0.0,0.0,0.0
25,1,0,0.5085214763403503,0.008521476340350272,0.35467956335526274,0.3779527559055118,0.6451348296913828,0.15327429103386384,1.9430398621243392,0.2846319509752604,0.006303314627854984,0.18682505451262638,0.6440221326154546,0.12425354188235914,0.1612837074228457,1.029817954666025,1.0,0.0,0.0,0.0
26,0,0,0.46853298908068364,0.03146701091931637,0.28042634614430606,0.2952755905511811,1.0403416140196764,0.061255302917931846,2.5719510469690405,0.2109423315401322,0.0051375223442128234,0.21193512082368904,1.0325218452491816,0.20784604525762582,0.46452508537711457,1.717807328436507,1.0,0.0,0.0,0.0
27,0,0,0.4164049124225656,0.08359508757743439,0.3632952725475489,0.3779527559055118,1.1195142383524823,0.08712195632768106,2.330384906308362,0.15288946431040662,0.004213396867822128,0.18189562266980328,1.113086863129519,0.1943866464631437,0.6014542115603028,1.8011873339474667,1.0,0.0,0.0,0.0
28,0,1,0.4847601049958456,0.015239895004154378,0.5047682954073547,0.531496062992126,1.026655438614831,0.22327540910834373,2.814585203474424,0.21982669410516936,0.010214278373966905,0.08639673700565748,1.0210507410103666,0.08739304228775718,0.767481945574906,1.2497514805617187,1.0,0.0,0.0,1.0
29,1,1,0.509680386413508,0.009680386413507968,0.28491091737473007,0.2952755905511811,0.7378035328083448,0.23243651422461142,2.5779518300048117,0.25145157151020997,0.00870626535527736,0.1599446530738935,0.7408877212399512,0.11257573176435673,0.45024173700192616,1.0819978896967288,1.0,0.0,0.0,1.0
