ablation,n_pairs,accuracy,mean_macro_dice,mean_macro_dice_nonempty_classes,mean_nrmse,accuracy_minus_default,accuracy_effect_ci_low,accuracy_effect_ci_high,accuracy_two_sided_p,macro_dice_minus_default,macro_dice_effect_ci_low,macro_dice_effect_ci_high,macro_dice_two_sided_p,nrmse_minus_default,nrmse_effect_ci_low,nrmse_effect_ci_high,nrmse_two_sided_p,fraction_any_coefficient_boundary,accuracy_holm_p_across_ablation_variants,macro_dice_holm_p_across_ablation_variants,nrmse_holm_p_across_ablation_variants
default,160,0.95625,0.8610585038378847,0.8526390258996518,0.1452286619783303,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.725,1.0,1.0,1.0
no_smoothing,160,0.95625,0.5704463598307115,0.568604622809586,0.31603067534258367,0.0,0.0,0.0,1.0,-0.29061214400717306,-0.3183153736051183,-0.2647135949211877,1.8585002073665584e-27,0.17080201336425332,0.15834761789552182,0.1822047190395536,5.544203082293414e-28,0.90625,1.0,9.292501036832792e-27,2.772101541146707e-27
derivative_window_11,160,0.95625,0.8066297953594084,0.8004143210263553,0.15407571421736804,0.0,0.0,0.0,1.0,-0.05442870847847599,-0.07300796214667095,-0.03571622567727397,9.466407993671891e-15,0.008847052239037765,0.007523175712168671,0.010141387351006175,5.642861828493077e-22,0.78125,1.0,2.8399223981015676e-14,2.257144731397231e-21
derivative_window_31,160,0.95625,0.8696623372703884,0.8614497135818485,0.14393374521532457,0.0,0.0,0.0,1.0,0.00860383343250387,-0.006524137522018606,0.023956850127499145,0.07572740652711069,-0.0012949167630057208,-0.0019478448875705494,-0.0006292987794073516,1.7247282993923804e-07,0.74375,1.0,0.07572740652711069,3.449456598784761e-07
wider_coefficient_bounds,160,0.95625,0.6052100482579239,0.5992047354933,0.3506384047280326,0.0,0.0,0.0,1.0,-0.2558484555799606,-0.28935354268209845,-0.2234580505952959,2.9726553551865166e-19,0.2054097427497023,0.18159851420605197,0.22960171753884534,2.7312613078476504e-19,0.675,1.0,1.1890621420746067e-18,8.193783923542951e-19
temporal_mean,160,0.95625,0.8701407988838691,0.8619465105627209,0.14303347918115744,0.0,0.0,0.0,1.0,0.009082295045984701,-0.004232060179989528,0.023030314708639706,0.01940419654130655,-0.002195182797172831,-0.003471510276242028,-0.0009428476236724442,5.440573042302643e-06,0.725,1.0,0.0388083930826131,5.440573042302643e-06
