measurement_noise,observation_fraction,metric,n_pairs,movie_mean,same_time_snapshot_mean,paired_effect_movie_minus_snapshot,paired_effect_ci_low,paired_effect_ci_high,two_sided_p,holm_p_within_metric_30_cells
0.0,0.05,accuracy,160,0.8125,0.81875,-0.00625,-0.0375,0.025,1.0,1.0
0.0,0.05,macro_dice,160,0.7650511866349538,0.7192977578993751,0.045753428735578666,0.020202872850736985,0.07257392722583393,0.0006741313359230029,0.010111970038845043
0.0,0.05,nrmse,160,0.19691462207112181,0.22106884741834812,-0.024154225347226308,-0.03265954025276365,-0.014714056687796712,1.176589355788817e-13,2.1178608404198705e-12
0.0,0.05,auroc,160,0.9072858036272671,0.9119762351469669,-0.004690431519699834,-0.032944518399225506,0.023452375466125937,0.833791552111972,1.0
0.0,0.1,accuracy,160,0.8375,0.85625,-0.01875,-0.05,0.00625,0.375,1.0
0.0,0.1,macro_dice,160,0.7816028759086242,0.7242974438486113,0.05730543206001287,0.02876966642382579,0.08702911976047692,0.0002750269205015563,0.004400430728024901
0.0,0.1,nrmse,160,0.17791459721978695,0.20614970221161671,-0.028235104991829775,-0.0349622273938396,-0.021114614887687674,3.6089754979789616e-13,5.774360796766339e-12
0.0,0.1,auroc,160,0.9432457786116323,0.9487179487179487,-0.0054721701063163986,-0.020114292980056972,0.00782350179940539,0.7065733566608348,1.0
0.0,0.15,accuracy,160,0.85625,0.89375,-0.0375,-0.075,0.0,0.109375,1.0
0.0,0.15,macro_dice,160,0.8020918817349901,0.7381534606837007,0.06393842105128958,0.035703666820603316,0.09288853312445777,6.756707576278774e-05,0.0012162073637301792
0.0,0.15,nrmse,160,0.16687823834627458,0.19100550052906826,-0.024127262182793676,-0.03156253325861111,-0.016683531463132843,2.9421166442941576e-10,4.118963302011821e-09
0.0,0.15,auroc,160,0.9538774233896186,0.9710756722951845,-0.017198248905565983,-0.031010442854720925,-0.005490002579979363,0.18970257435641089,1.0
0.0,0.2,accuracy,160,0.9,0.93125,-0.03125,-0.0625,-0.00625,0.0625,1.0
0.0,0.2,macro_dice,160,0.8239891846296163,0.7572886210759378,0.06670056355367855,0.03702367709358521,0.0958882368252748,2.1549021727873125e-05,0.0004309804345574625
0.0,0.2,nrmse,160,0.15536061255590816,0.17493782702198094,-0.019577214466072766,-0.027331559515351312,-0.011866600411050775,7.587320283630699e-07,7.587320283630699e-06
0.0,0.2,auroc,160,0.9749843652282677,0.9826454033771107,-0.007661038148843002,-0.016447789069861378,-0.0009380863039399861,0.4308922769307673,1.0
0.0,0.3,accuracy,160,0.95625,0.95,0.00625,0.0,0.01875,1.0,1.0
0.0,0.3,macro_dice,160,0.9192068470092984,0.8115485158827822,0.1076583311265162,0.08519469048825179,0.13038493408293333,1.0826001005730497e-16,2.923020271547234e-15
0.0,0.3,nrmse,160,0.13463020502217038,0.13810827403271342,-0.003478069010543024,-0.012055419793775286,0.005051011089397902,0.5042418022325692,1.0
0.0,0.3,auroc,160,0.9959349593495935,0.9970293933708568,-0.001094434021263302,-0.0044090154616548355,0.0014071294559099307,0.6320919770057486,1.0
0.0,0.5,accuracy,160,0.99375,1.0,-0.00625,-0.01875,0.0,1.0,1.0
0.0,0.5,macro_dice,160,0.9580957011069664,0.9319800811310948,0.02611561997587154,0.01397748762628167,0.04017365030593254,0.9544798964276509,1.0
0.0,0.5,nrmse,160,0.12414897745179646,0.07041474370930603,0.05373423374249041,0.044106200383967585,0.06296639441777903,6.560159948876488e-17,1.7056415867078868e-15
0.0,0.5,auroc,160,1.0,1.0,0.0,0.0,0.0,1.0,1.0
0.02,0.05,accuracy,160,0.825,0.825,0.0,-0.0375,0.03125,1.0,1.0
0.02,0.05,macro_dice,160,0.6987517906406661,0.7193906663188383,-0.020638875678172245,-0.04942298540996029,0.008628246137169936,0.5821581552852326,1.0
0.02,0.05,nrmse,160,0.23268677044204228,0.22127886600335156,0.011407904438690768,0.0010969511802124176,0.021780999310221448,0.06283108476081814,0.25132433904327256
