scenario,scenario_seed,trial_id,measurement_noise,observation_fraction,observations_used,forward_model,separation_scale,target_overlap_sd,target_overlap_offset,outcome_target_selector,outcome,q0,q_final,q_hat,prediction,same_time_snapshot_q,same_time_snapshot_prediction,true_correction_rate,realized_correction_map_mean,true_coupling,estimated_correction_rate,estimated_coupling,raw_correction_rate,raw_coupling,correction_hit_lower,correction_hit_upper,coupling_hit_lower,coupling_hit_upper,same_time_snapshot_rmse,same_time_snapshot_nrmse,same_time_snapshot_correlation,same_time_snapshot_pixel_accuracy,same_time_snapshot_macro_dice,same_time_snapshot_macro_dice_nonempty_classes,rmse,nrmse,correlation,pixel_accuracy,macro_dice,macro_dice_nonempty_classes
shifted_holdout,20360721,0,0.05,0.05,12,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4876989600263338,0.0013053786753368713,0.5027023270530458,1,0.497686314827731,0,1.0493602379675395,1.0341630656210887,0.11710322427494568,1.404330321165581,0.0,1.404330321165581,-0.789549182957519,False,False,True,False,0.4717788444703692,0.2358894222351846,0.8075936116149205,0.7598425196850394,0.604102564102564,0.604102564102564,0.4759219161291191,0.23796095806455955,0.8028008208107819,0.7578740157480315,0.6021320084274079,0.6021320084274079
shifted_holdout,20360721,0,0.05,0.1,23,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4876989600263338,0.0013053786753368713,0.4935371242318082,0,0.49429490876475163,0,1.0493602379675395,1.0341630656210887,0.11710322427494568,0.41979928113652576,0.28307314908621817,0.41979928113652576,0.28307314908621817,False,False,False,False,0.46638197785670915,0.23319098892835458,0.8186768327264297,0.7598425196850394,0.604102564102564,0.604102564102564,0.47596421355373564,0.23798210677686782,0.799954853062909,0.7578740157480315,0.603492552645095,0.603492552645095
shifted_holdout,20360721,0,0.05,0.15,34,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4876989600263338,0.0013053786753368713,0.4793406830820997,0,0.4827999444696903,0,1.0493602379675395,1.0341630656210887,0.11710322427494568,0.47368556741965573,0.3128808932195529,0.47368556741965573,0.3128808932195529,False,False,False,False,0.45519568562648965,0.22759784281324483,0.8341082187756393,0.7598425196850394,0.604102564102564,0.604102564102564,0.45313416344872964,0.22656708172436482,0.8347051724377622,0.7598425196850394,0.604102564102564,0.604102564102564
shifted_holdout,20360721,0,0.05,0.2,45,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4876989600263338,0.0013053786753368713,0.251398516715113,0,0.447919436107495,0,1.0493602379675395,1.0341630656210887,0.11710322427494568,0.08,0.6,-0.5396676735335013,1.1122752656622013,True,False,False,True,0.42235448697600997,0.21117724348800498,0.8680925762748798,0.7598425196850394,0.604102564102564,0.604102564102564,0.4097604723163211,0.20488023615816056,0.824781145029152,0.8031496062992126,0.7802098375706157,0.7802098375706157
shifted_holdout,20360721,0,0.05,0.3,67,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4876989600263338,0.0013053786753368713,-0.017037069796156795,0,0.3781441216402951,0,1.0493602379675395,1.0341630656210887,0.11710322427494568,0.08,0.6,-0.483688996601975,1.0098626718962826,True,False,False,True,0.35757041665732736,0.17878520832866368,0.9171965447840382,0.7598425196850394,0.604102564102564,0.604102564102564,0.24389921593802427,0.12194960796901214,0.9437792969757767,0.9645669291338582,0.9642013758599125,0.9642013758599125
shifted_holdout,20360721,0,0.05,0.5,111,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4876989600263338,0.0013053786753368713,-0.25026986110395605,0,0.17540333224713092,0,1.0493602379675395,1.0341630656210887,0.11710322427494568,0.08,0.6,-0.3223074225120861,0.753086647826685,True,False,False,True,0.17231366256136724,0.08615683128068362,0.9854802527885691,0.968503937007874,0.9668042655658754,0.9668042655658754,0.2839386319111441,0.14196931595557205,0.9770296377414146,0.9803149606299213,0.980441633984941,0.980441633984941
shifted_holdout,20360721,1,0.05,0.05,12,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4205447994444914,2.2592941617256785e-05,-0.05520331542950744,0,0.4630762781373871,0,0.9367673031593826,0.9396239653257498,0.11693960678436799,0.08,0.530223991638681,-0.11360631560640304,0.530223991638681,True,False,False,False,0.43814875789591023,0.21907437894795512,0.8495083567855428,0.7598425196850394,0.604102564102564,0.604102564102564,0.8569921201906369,0.42849606009531843,0.5909008088069766,0.5098425196850394,0.5178777080151593,0.5178777080151593
shifted_holdout,20360721,1,0.05,0.1,23,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4205447994444914,2.2592941617256785e-05,-0.26267374791238307,0,0.40809528849932825,0,0.9367673031593826,0.9396239653257498,0.11693960678436799,0.08,0.6,-0.5754681558002329,1.0860213770573044,True,False,False,True,0.38629296856802847,0.19314648428401424,0.8952488532395114,0.7598425196850394,0.604102564102564,0.604102564102564,0.49587780551831173,0.24793890275915587,0.8955248893822989,0.7933070866141733,0.799209170625503,0.799209170625503
shifted_holdout,20360721,1,0.05,0.15,34,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4205447994444914,2.2592941617256785e-05,-0.27330430519477955,0,0.36369177371301503,0,0.9367673031593826,0.9396239653257498,0.11693960678436799,0.08,0.495167315953104,-0.049956113517631254,0.495167315953104,True,False,False,False,0.34503106403210987,0.17251553201605493,0.9244953340594116,0.7559055118110236,0.6003446826397646,0.6003446826397646,0.39125630610951395,0.19562815305475698,0.9421256378550874,0.905511811023622,0.9063210728687942,0.9063210728687942
shifted_holdout,20360721,1,0.05,0.2,45,linear_isotropic,1.0,0.0,0.0,0.0,0,0.4205447994444914,2.2592941617256785e-05,-0.28552906290215085,0,0.2865786112925933,0,0.9367673031593826,0.9396239653257498,0.11693960678436799,0.08,0.6,-0.28500267660434236,0.6562867620869497,True,False,False,True,0.2729445642301262,0.1364722821150631,0.9583548113842638,0.7775590551181102,0.6537058428902042,0.6537058428902042,0.3554472061184463,0.17772360305922316,0.9623464472221596,0.9488188976377953,0.949334707686254,0.949334707686254
