trial_id,outcome,ablation,q_hat,prediction,estimated_correction_rate,estimated_coupling,raw_correction_rate,raw_coupling,correction_hit_lower,correction_hit_upper,coupling_hit_lower,coupling_hit_upper,any_coefficient_boundary_hit,derivative_window,smoothing,temporal_aggregation,rmse,nrmse,correlation,pixel_accuracy,macro_dice,macro_dice_nonempty_classes
0,1,default,1.299650810070042,1,0.08,0.4537240312544669,-0.07081873896746674,0.4537240312544669,True,False,False,False,True,21,savgol,median,0.34282298317473087,0.17141149158736543,0.9098476211414038,0.9645669291338582,0.9763775866077656,0.9645663799116484
0,1,no_smoothing,1.288789771676843,1,0.08,0.13539976882241847,-0.041902994638859326,0.13539976882241847,True,False,False,False,True,21,none,median,0.7166021871037154,0.3583010935518577,0.6055594135082734,0.6279527559055118,0.4409843218958767,0.4409843218958767
0,1,derivative_window_11,1.2998111133135677,1,0.08,0.379464400010594,-0.059255917875447234,0.379464400010594,True,False,False,False,True,11,savgol,median,0.3631311065791974,0.1815655532895987,0.8929430158534255,0.9586614173228346,0.6410094489662269,0.6410094489662269
0,1,derivative_window_31,1.3003121533516906,1,0.08,0.5080974508166561,-0.0794532332219234,0.5080974508166561,True,False,False,False,True,31,savgol,median,0.3411449171618775,0.17057245858093875,0.9125789418028029,0.9645669291338582,0.9763775866077656,0.9645663799116484
0,1,wider_coefficient_bounds,1.3155360790182948,1,0.01,0.4537240312544669,-0.07081873896746674,0.4537240312544669,True,False,False,False,True,21,savgol,median,0.8564939284776367,0.42824696423881836,0.5522042203986229,0.59251968503937,0.41300513764281876,0.41300513764281876
0,1,temporal_mean,1.2987033455270987,1,0.08,0.4537240312544669,-0.07081873896746674,0.4537240312544669,True,False,False,False,True,21,savgol,mean,0.33558579694204843,0.16779289847102422,0.9116206087912628,0.9625984251968503,0.6423662610559339,0.6423662610559339
1,0,default,-0.27715055667266353,0,0.11573292679087657,0.3229804783754373,0.11573292679087657,0.3229804783754373,False,False,False,False,False,21,savgol,median,0.28960311017064555,0.14480155508532278,0.9775580018896219,0.9960629921259843,0.9960050874072038,0.9960050874072038
1,0,no_smoothing,-0.25274568581606655,0,0.09478150050673925,0.029709354466897386,0.09478150050673925,0.029709354466897386,False,False,False,False,False,21,none,median,0.6419831739083622,0.3209915869541811,0.7819891147202002,0.6791338582677166,0.6848801358125938,0.6848801358125938
1,0,derivative_window_11,-0.2769429666538973,0,0.10598584109340087,0.23500067031902194,0.10598584109340087,0.23500067031902194,False,False,False,False,False,11,savgol,median,0.30657730202431355,0.15328865101215677,0.9699344794779873,0.9901574803149606,0.9900124195632775,0.9900124195632775
1,0,derivative_window_31,-0.2789930722442826,0,0.1138318717650406,0.35309508464039446,0.1138318717650406,0.35309508464039446,False,False,False,False,False,31,savgol,median,0.28949850499652846,0.14474925249826423,0.9796018693668068,0.9940944881889764,0.994020697580415,0.994020697580415
1,0,wider_coefficient_bounds,-0.27715055667266353,0,0.11573292679087657,0.3229804783754373,0.11573292679087657,0.3229804783754373,False,False,False,False,False,21,savgol,median,0.28960311017064555,0.14480155508532278,0.9775580018896219,0.9960629921259843,0.9960050874072038,0.9960050874072038
1,0,temporal_mean,-0.2766747773543365,0,0.11573292679087657,0.3229804783754373,0.11573292679087657,0.3229804783754373,False,False,False,False,False,21,savgol,mean,0.28788599654389235,0.14394299827194618,0.9786158861509897,1.0,1.0,1.0
2,0,default,0.0509695839584957,0,0.08,0.43468098167948266,0.011439337722846268,0.43468098167948266,True,False,False,False,True,21,savgol,median,0.22841211550587334,0.11420605775293667,0.9465824473445513,0.9566929133858267,0.955188198086448,0.955188198086448
2,0,no_smoothing,0.11645974722899545,0,0.08,0.12090581588472772,-0.020425411245115564,0.12090581588472772,True,False,False,False,True,21,none,median,0.7548527842345327,0.37742639211726636,0.602349049335196,0.5826771653543307,0.5868983220026863,0.5868983220026863
