trial_id,measurement_noise,observation_fraction,outcome,same_time_snapshot_q,same_time_snapshot_prediction
3,0.15,0.5,0,0.07562460454265808,0
4,0.0,0.05,1,0.49556428226861426,0
4,0.0,0.1,1,0.4726169695691884,0
4,0.0,0.15,1,0.4531012002014336,0
4,0.0,0.2,1,0.4340566600555583,0
4,0.0,0.3,1,0.47357089599877483,0
4,0.0,0.5,1,0.605176432238052,1
4,0.02,0.05,1,0.49395272774322807,0
4,0.02,0.1,1,0.47310097327938094,0
4,0.02,0.15,1,0.4523293738886836,0
4,0.02,0.2,1,0.43465640222668095,0
4,0.02,0.3,1,0.47447943745805454,0
4,0.02,0.5,1,0.6068278957780612,1
4,0.05,0.05,1,0.4917006849653383,0
4,0.05,0.1,1,0.4722832527117911,0
4,0.05,0.15,1,0.45226541197708453,0
4,0.05,0.2,1,0.43551621341223123,0
4,0.05,0.3,1,0.4722382515384516,0
4,0.05,0.5,1,0.5984363242629687,1
4,0.1,0.05,1,0.4970283393812181,0
4,0.1,0.1,1,0.4705121399023929,0
4,0.1,0.15,1,0.4565205582186458,0
4,0.1,0.2,1,0.438889760350663,0
4,0.1,0.3,1,0.47263053499295027,0
4,0.1,0.5,1,0.6105708880971309,1
4,0.15,0.05,1,0.49067908800256477,0
4,0.15,0.1,1,0.46939744300256503,0
4,0.15,0.15,1,0.4450927815286333,0
4,0.15,0.2,1,0.4396553387143858,0
4,0.15,0.3,1,0.4749737379381233,0
4,0.15,0.5,1,0.6130527189170879,1
5,0.0,0.05,0,0.49737958025623336,0
5,0.0,0.1,0,0.4850509085065134,0
5,0.0,0.15,0,0.4690738208341875,0
5,0.0,0.2,0,0.4284966792771368,0
5,0.0,0.3,0,0.3304737214520752,0
5,0.0,0.5,0,0.15051111471269008,0
5,0.02,0.05,0,0.49918485000236545,0
5,0.02,0.1,0,0.4853765597191686,0
5,0.02,0.15,0,0.46891751910471546,0
5,0.02,0.2,0,0.427753531055011,0
5,0.02,0.3,0,0.33221562579196345,0
5,0.02,0.5,0,0.14970202763485985,0
5,0.05,0.05,0,0.4986977316814758,0
5,0.05,0.1,0,0.493055099599309,0
5,0.05,0.15,0,0.4690507022800775,0
5,0.05,0.2,0,0.4328175737133983,0
5,0.05,0.3,0,0.32926536001207685,0
5,0.05,0.5,0,0.15005373021508372,0
5,0.1,0.05,0,0.4924090717815843,0
5,0.1,0.1,0,0.4913846961582613,0
5,0.1,0.15,0,0.47484579998481885,0
5,0.1,0.2,0,0.42002209490625503,0
5,0.1,0.3,0,0.3281849378894981,0
5,0.1,0.5,0,0.1533851715990573,0
5,0.15,0.05,0,0.4975701328271957,0
