difficulty,separation_scale,active_tissue_pixels,euclidean_distance,rmse,nrmse_full_voltage_range,mean_absolute_difference,fraction_voltage_values_different,fraction_anatomical_labels_different,macro_dice_between_anatomical_templates,macro_dice_between_anatomical_templates_nonempty_classes
original,1.0,508,21.103002336699827,0.9362943245847026,0.4681471622923513,0.4797182781008569,0.594488188976378,0.24015748031496062,0.5555555555555555,0.5555555555555555
scale_0.65,0.65,508,13.71695151885489,0.6085913109800567,0.30429565549002835,0.3118168807655569,0.594488188976378,0.2125984251968504,0.5643939393939394,0.5643939393939394
scale_0.35,0.35,508,7.38605081784494,0.32770301360464593,0.16385150680232297,0.1679013973352999,0.594488188976378,0.0,1.0,1.0
scale_0.15,0.15,508,3.1654503505049743,0.14044414868770538,0.07022207434385269,0.07195774171512852,0.5748031496062992,0.0,1.0,1.0
